ID;Image;Name(Kanji);Name(Hiragana);Name(Romaji);Name(Localised);Nickname;Gender;Passive ID;Role;Game;Position;Alt Position;Element;Preferred Playstyle;First 3 Moves Learnt;Kick;Control;Technique;Pressure;Physical;Agility;Intelligence;Total Stats;Main Path;Alternate Paths
1;https://dxi4wb638ujep.cloudfront.net/1/k/d/w/dwho-wi8ruk.png;円堂 守;えんどう まもる;Mamoru Endo;Mark Evans;円堂;男 (Male);GK1;選手 (Player);イナズマイレブン;GK;FW;山 (Mountain);Justice;"Strong Punch
God Hand
Fireball Knuckle";90;97;91;98;105;111;97;689;Keep > Keep;"Keep > Keep
Shoot > Shoot"
2;https://dxi4wb638ujep.cloudfront.net/1/k/f/1/f1kh7d67sbs.png;豪炎寺 修也;ごうえんじ しゅうや;Shuya Goenji;Axel Blaze;豪炎寺;男 (Male);FW2;選手 (Player);イナズマイレブン;FW;MF;火 (Fire);Justice;"Fire Tornado
Scorching Tackle
Inazuma Drop";121;115;105;88;85;85;93;692;Shoot > Offense;"Shoot > Shoot
Offense > Offense"
5;https://dxi4wb638ujep.cloudfront.net/1/k/m/r/mrvaa0xojh8.png;壁山 塀吾郎;かべやま へいごろう;Heigoro Kabeyama;Jack Wallside;壁山;男 (Male);DF1;選手 (Player);イナズマイレブン;DF;MF;山 (Mountain);Justice;"Shoulder Tackle
The Wall
The Mountain";90;94;95;102;105;91;114;691;Defense > Defense;"Offense > Defense
Offense > Offense"
6;https://dxi4wb638ujep.cloudfront.net/1/k/9/5/95k7tlx0k0u.png;風丸 一郎太;かぜまる いちろうた;Ichirota Kazemaru;Nathan Swift;風丸;男 (Male);DF1;選手 (Player);イナズマイレブン;DF;MF;風 (Wind);Justice;"Cunning Pull
Flurry Dash
Fire Rooster";90;94;95;102;105;91;114;691;Defense > Offense;"Offense > Defense
Offense > Offense"
7;https://dxi4wb638ujep.cloudfront.net/1/k/0/d/0dvmw8cb_ye.png;染岡 竜吾;そめおか りゅうご;Ryugo Someoka;Kevin Dragonfly;染岡;男 (Male);FW4;選手 (Player);イナズマイレブン;FW;MF;林 (Forest);Tension;"Will-o'-the-Wisp Shot
Dragon Crash
Dragon Tornado";117;112;102;84;82;81;90;668;Shoot > Shoot;"Offense > Shoot
Offense > Offense"
8;https://dxi4wb638ujep.cloudfront.net/1/k/_/y/_yjndsfyhyu.png;栗松 鉄平;くりまつ てっぺい;Teppei Kurimatsu;Tod Ironside;栗松;男 (Male);DF3;選手 (Player);イナズマイレブン;DF;MF;火 (Fire);Counter;"Curving Cut
Spinning Cut
Monkey Turn";86;90;91;98;102;88;110;665;Defense > Defense;"Shoot > Offense
Offense > Offense"
9;https://dxi4wb638ujep.cloudfront.net/1/k/f/3/f3asqpwqusk.png;半田 真一;はんだ しんいち;Shinichi Handa;Steve Grim;半田;男 (Male);MF4;選手 (Player);イナズマイレブン;MF;DF;風 (Wind);Justice;"Heel Flick
Cyclone
Rolling Kick";100;108;105;88;88;81;97;667;Offense > Defense;"Defense > Shoot
Defense > Defense"
10;https://dxi4wb638ujep.cloudfront.net/1/k/r/d/rd_khczyztm.png;松野 空介;まつの くうすけ;Kusuke Matsuno;Maxwell Carson;マックス;男 (Male);FW4;選手 (Player);イナズマイレブン;FW;MF;風 (Wind);Tension;"Nutmeg
Quick Draw
Cross Drive";117;112;102;84;82;81;90;668;Offense > Defense;"Offense > Offense
Offense > Offense"
11;https://dxi4wb638ujep.cloudfront.net/1/k/u/f/ufxz9wwq5hm.png;少林寺 歩;しょうりんじ あゆむ;Ayumu Shorinji;Tim Saunders;しょうりん;男 (Male);MF4;選手 (Player);イナズマイレブン;MF;DF;林 (Forest);Bond;"Crosscut Feint
Whirlwind Twister
Kung Fu Header";100;108;105;88;88;81;97;667;Offense > Offense;"Offense > Shoot
Defense > Defense"
12;https://dxi4wb638ujep.cloudfront.net/1/k/a/1/a1orm9vieek.png;宍戸 佐吉;ししど さきち;Sakichi Shishido;Sam Kincaid;宍戸;男 (Male);MF4;選手 (Player);イナズマイレブン;MF;DF;火 (Fire);Bond;"Deceptive Step
Grenade Shot
Bewildered";100;108;105;88;88;81;97;667;Offense > Shoot;"Defense > Shoot
Defense > Defense"
13;https://dxi4wb638ujep.cloudfront.net/1/k/o/w/owsgutjimb8.png;影野 仁;かげの じん;Jin Kageno;Jim Wraith;仁;男 (Male);DF3;選手 (Player);イナズマイレブン;DF;GK;林 (Forest);Justice;"Feint Play
Coil Turn
Shadow Stitch";86;90;91;98;102;88;110;665;Defense > Defense;"Offense > Defense
Keep > Keep"
