ID;Image;Name(Kanji);Name(Hiragana);Name(Romaji);Name(Localised);Nickname;Gender;Passive ID;Role;Game;Position;Alt Position;Element;Preferred Playstyle;First 3 Moves Learnt;Shot AT;Focus AT;Focus DF;Scramble AT;Scramble DF;Castle Wall DF;KP;Main Path;Alternate Paths
1;#NAME?;;;Mamoru Endo;Mark Evans;;男 (Male);;選手 (Player);;GK;FW;山 (Mountain);Justice;"Strong Punch
God Hand
Fireball Knuckle";187;0;0;202;195;203;0;Keep > Keep;"Keep > Keep
Shoot > Shoot"
2;#NAME?;;;Shuya Goenji;Axel Blaze;;男 (Male);;選手 (Player);;FW;MF;火 (Fire);Justice;"Fire Tornado
Scorching Tackle
Inazuma Drop";236;0;0;178;181;173;0;Shoot > Offense;"Shoot > Shoot
Offense > Offense"
5;#NAME?;;;Heigoro Kabeyama;Jack Wallside;;男 (Male);;選手 (Player);;DF;MF;山 (Mountain);Justice;"Shoulder Tackle
The Wall
The Mountain";184;0;0;219;216;207;0;Defense > Defense;"Offense > Defense
Offense > Offense"
6;#NAME?;;;Ichirota Kazemaru;Nathan Swift;;男 (Male);;選手 (Player);;DF;MF;風 (Wind);Justice;"Cunning Pull
Flurry Dash
Fire Rooster";184;0;0;219;216;207;0;Defense > Offense;"Offense > Defense
Offense > Offense"
7;#NAME?;;;Ryugo Someoka;Kevin Dragonfly;;男 (Male);;選手 (Player);;FW;MF;林 (Forest);Tension;"Will-o'-the-Wisp Shot
Dragon Crash
Dragon Tornado";229;0;0;172;174;166;0;Shoot > Shoot;"Offense > Shoot
Offense > Offense"
8;#NAME?;;;Teppei Kurimatsu;Tod Ironside;;男 (Male);;選手 (Player);;DF;MF;火 (Fire);Counter;"Curving Cut
Spinning Cut
Monkey Turn";176;0;0;212;208;200;0;Defense > Defense;"Shoot > Offense
Offense > Offense"
9;#NAME?;;;Shinichi Handa;Steve Grim;;男 (Male);;選手 (Player);;MF;DF;風 (Wind);Justice;"Heel Flick
Cyclone
Rolling Kick";208;0;0;185;185;176;0;Offense > Defense;"Defense > Shoot
Defense > Defense"
10;#NAME?;;;Kusuke Matsuno;Maxwell Carson;;男 (Male);;選手 (Player);;FW;MF;風 (Wind);Tension;"Nutmeg
Quick Draw
Cross Drive";229;0;0;172;174;166;0;Offense > Defense;"Offense > Offense
Offense > Offense"
11;#NAME?;;;Ayumu Shorinji;Tim Saunders;;男 (Male);;選手 (Player);;MF;DF;林 (Forest);Bond;"Crosscut Feint
Whirlwind Twister
Kung Fu Header";208;0;0;185;185;176;0;Offense > Offense;"Offense > Shoot
Defense > Defense"
12;#NAME?;;;Sakichi Shishido;Sam Kincaid;;男 (Male);;選手 (Player);;MF;DF;火 (Fire);Bond;"Deceptive Step
Grenade Shot
Bewildered";208;0;0;185;185;176;0;Offense > Shoot;"Defense > Shoot
Defense > Defense"
13;#NAME?;;;Jin Kageno;Jim Wraith;;男 (Male);;選手 (Player);;DF;GK;林 (Forest);Justice;"Feint Play
Coil Turn
Shadow Stitch";176;0;0;212;208;200;0;Defense > Defense;"Offense > Defense
Keep > Keep"
14;#NAME?;;;Kakeru Megane;William Glass;;男 (Male);;選手 (Player);;FW;MF;林 (Forest);Justice;"Bounce Shot
Spectacle Crash
Divine Arrows";218;0;0;182;185;173;0;Shoot > Shoot;"Offense > Shoot
Offense > Offense"
15;#NAME?;;;Kazuya Ichinose;Erik Eagle;;男 (Male);;選手 (Player);;MF;FW;林 (Forest);Bond;"Deceptive Step
Spinning Shot
Illusory Ball";208;0;0;185;185;176;0;Offense > Shoot;"Shoot > Shoot
Defense > Shoot"
16;#NAME?;;;Asuka Domon;Bobby Shearer;;男 (Male);;選手 (Player);;DF;MF;林 (Forest);Tension;"Rolling Steal
Killer Slide
Volcano Cut";176;0;0;212;208;200;0;Defense > Defense;"Shoot > Defense
Defense > Shoot"
17;#NAME?;;;Aki Kino;Silvia Woods;;女 (Female);;マネージャー (Coordinator);;GK;DF;山 (Mountain);Tension;"Mighty Save
God Hand
Blazing Knuckle";187;0;0;202;195;203;0;Keep > Keep;"Keep > Keep
Defense > Defense"
18;#NAME?;;;Haruna Otonashi;Celia Hills;;女 (Female);;マネージャー (Coordinator);;MF;DF;風 (Wind);Bond;"Feint Dash
Illusory Ball
Spinning Cut";216;0;0;192;191;183;0;Offense > Offense;"Offense > Shoot
Defense > Defense"
19;#NAME?;;;Natsumi Raimon;Nelly Raimon;;女 (Female);;マネージャー (Coordinator);;FW;MF;火 (Fire);Bond;"Will-o'-the-Wisp Shot
Bed of Roses
Matador Feint";236;0;0;178;181;173;0;Shoot > Shoot;"Shoot > Shoot
Offense > Defense"
20;#NAME?;;;Kojiro Genda;Joseph King;;男 (Male);;選手 (Player);;GK;MF;火 (Fire);Breach;"Mighty Save
Power Shield
Full Power Shield";187;0;0;202;195;203;0;Keep > Keep;"Keep > Keep
Shoot > Offense"
21;#NAME?;;;Densuke Ono;Peter Drent;;男 (Male);;選手 (Player);;DF;FW;山 (Mountain);Rough Play;"Feint Play
Earthquake
Illusory Ball";169;0;0;206;202;194;0;Defense > Defense;"Defense > Shoot
Shoot > Shoot"
22;#NAME?;;;Kazumichi Banjo;Ben Simmons;;男 (Male);;選手 (Player);;DF;MF;林 (Forest);Justice;"Rolling Steal
Cyclone
Killer Slide";162;0;0;216;212;200;0;Defense > Defense;"Defense > Offense
Offense > Defense"
23;#NAME?;;;Kenya Narukami;Alan Master;;男 (Male);;選手 (Player);;MF;DF;風 (Wind);Breach;"Nutmeg
Killer Slide
Illusory Ball";201;0;0;175;178;159;0;Offense > Defense;"Defense > Offense
Defense > Defense"
24;#NAME?;;;Masaru Gojo;Gus Martin;;男 (Male);;選手 (Player);;DF;MF;林 (Forest);Bond;"Curving Cut
Killer Slide
Clone Faker";176;0;0;212;208;200;0;Defense > Defense;"Defense > Defense
Offense > Defense"
25;#NAME?;;;Wataru Henmi;Herman Waldon;;男 (Male);;選手 (Player);;MF;FW;風 (Wind);Rough Play;"Nutmeg
Killer Slide
Cyclone";201;0;0;175;178;159;0;Offense > Defense;"Shoot > Offense
Shoot > Shoot"
26;#NAME?;;;Shuji Sakiyama;John Bloom;;男 (Male);;選手 (Player);;MF;FW;火 (Fire);Tension;"Dust Kick
Killer Slide
Wrath Shot";201;0;0;175;178;159;0;Offense > Defense;"Shoot > Offense
Shoot > Shoot"
27;#NAME?;;;Shuichiro Domen;Derek Swing;;男 (Male);;選手 (Player);;MF;FW;風 (Wind);Counter;"Deceptive Step
Clone Faker
Killer Slide";201;0;0;175;178;159;0;Offense > Offense;"Shoot > Shoot
Shoot > Shoot"
28;#NAME?;;;Daiki Jimon;Daniel Hatch;;男 (Male);;選手 (Player);;FW;DF;林 (Forest);Rough Play;"Low Drive
Wrath Shot
Killer Slide";211;0;0;175;177;166;0;Shoot > Shoot;"Shoot > Shoot
Defense > Defense"
29;#NAME?;;;Yuto Kido;Jude Sharp;;男 (Male);;選手 (Player);;MF;FW;風 (Wind);Justice;"Deceptive Step
Illusory Ball
Twin Boost";216;0;0;192;191;183;0;Offense > Offense;"Shoot > Offense
Shoot > Shoot"
30;#NAME?;;;Jiro Sakuma;David Samford;;男 (Male);;選手 (Player);;FW;MF;林 (Forest);Counter;"Bounce Shot
Killer Slide
Emperor Penguin No. 2";236;0;0;178;181;173;0;Shoot > Defense;"Shoot > Offense
Offense > Defense"
31;#NAME?;;;Yuhei Hyodo;Bob Carlton;;男 (Male);;選手 (Player);;GK;DF;林 (Forest);Justice;"Strong Punch
Power Shield
Fireball Knuckle";165;0;0;181;174;183;0;Keep > Keep;"Keep > Keep
Defense > Defense"
32;#NAME?;;;Kazuki Ena;Cliff Tomlinson;;男 (Male);;選手 (Player);;FW;MF;風 (Wind);Breach;"Low Drive
Grenade Shot
Killer Slide";205;0;0;168;171;159;0;Shoot > Shoot;"Shoot > Shoot
Offense > Defense"
33;#NAME?;;;Kei Mukumoto;Jim Lawrenson;;男 (Male);;選手 (Player);;FW;MF;風 (Wind);Tension;"Bounce Shot
Spiral Shot
Wrath Shot";214;0;0;158;160;152;0;Shoot > Shoot;"Offense > Defense
Offense > Defense"
34;#NAME?;;;Shodai Shibuki;Barry Potts;;男 (Male);;選手 (Player);;MF;FW;風 (Wind);Rough Play;"Dust Kick
Killer Slide
Whirlwind Twister";194;0;0;168;170;152;0;Offense > Defense;"Offense > Shoot
Shoot > Shoot"
