Name;Effect 1;Effect 2;Effect 3;Duration (s);Cooldown (s);Shop
Keyman Lockdown;Target: Pass lines to target disappear;Target: AT -50%;Target: DF - 50%;40;90;Special Training Booth
Against All Odds;Geoglyph: Own Special Move Cooldown -25%;;Overall: Shot AT +10%;30;90;Special Training Booth
Flame Fortress;Geoglyph: DF+40%;;Overall: KP +10%;40;90;Special Training Booth
Invisible Link;Combination Move Power +20%;;;30;90;Special Training Booth
Bond Protocol;Geoglyph: When passing, Bond Power +200%;;Overall: Bond Power Loss -100%;40;90;Special Training Booth
Boost 15;Scramble AT/DF +25%;;Focus AT/DF +25%;;90;Special Training Booth
Sideline Spears;Geoglyph: Dash speed +50%;;Overall: Focus AT/DF +20%;40;90;Special Training Booth
Claymore;Geoglyph: Foul rate when dashing -50%;;Overall: Rough Attack AT/DF +25%;40;90;Special Training Booth
Three-Pronged Attack;Geogylph: Dribble speed +50%;;Overall: Scramble AT/DF +25%;40;90;Special Training Booth
Star Path;Geogylph: AT +15%;Geoglyph: DF +40%;Overall: DF +10%;30;90;Special Training Booth
Roar of Resolve;Shot Move Power +20%;Dribble Move Power +20%;;30;90;Special Training Booth
Titan Wall;On opposition's half of pitch, Opponent DF -30%;On your half of the pitch, Opponent AT -30%;Enemy Move Speed -10%;30;90;Special Training Booth
Stalwart Suppression;Decrease the Focus AT & DF of your Focus Battle opponent to match your own team's;;;30;90;Special Training Booth
Caucus Race;Enemy Shot Move Power -20%;Enemy Dribble Move Power -20%;;30;90;Special Training Booth
Cavalry Advance;On your half of the pitch, Team DF +30%;On opposition's half of the pitch, Team AT +30%;Move Speed +10%;30;90;Special Training Booth
Shinano Formation;Form up, ignore Focus, and push forward;AT +15%;;30;90;Special Training Booth
Enchanted Forest;Enemy Team DF -10%;Enemy Move Speed -10%;Opposition more likely to miss passes;30;90;Special Training Booth
Ghost Lock;Disable opponents near ball;;;5;90;Chronicle Department Store
Sky's the Limit;No pass intercepts & skip Focus Battles;No pass intercepts;;10;90;Chronicle Department Store
Box Lock;Geoglyph: Stun opponent with the ball;Geoglyph: Opponent loses ball;;10;90;Chronicle Department Store
Dual Typhoon;Form up, ignore Focus, and push forward;;;30;90;Chronicle Department Store
Absolute Knights;Enemy Move Speed -10%;Opposition more likely to miss passes;;10;90;Chronicle Department Store
Perfect Zone Press;Geoglyph: Stun opponent with the ball;Geoglyph: Opponent loses ball;;10;90;Chronicle Department Store
Invincible Lance;Form up, ignore Focus, and push forward;Breach rate +5%;;30;90;Chronicle Department Store
Andres Antlion;Geoglyph: Stun opponent with the ball;Geoglyph: Opponent loses ball;Overall: Enemy Move Speed -10%;10;90;Chronicle Department Store
Rolling Thunder;No pass intercepts & skip Focus Battles;No pass intercepts;;10;90;Chronicle Department Store
Catenaccio Counter;Geoglyph: Stun opponent with the ball;Geoglyph: Opponent loses ball;Overall: Shot AT +10%;10;90;Chronicle Department Store
Amazon Wave;Form up, ignore Focus, and push forward;Enemy Move Speed -10%;;30;90;Chronicle Department Store
Circular Drive;Target: Move Speed -10%;Target: DF -50%;Target: Pass lines to target disappear;10;90;Chronicle Department Store
Dark Thunder;Disable opponents near ball;Enemy Move Speed -10%;;5;90;Chronicle Department Store
Virtuoso;No pass intercepts & skip Focus Battles;No pass intercepts;When passing, Bond Power +100%;10;90;Chronicle Department Store
Thunderbolt;No pass intercepts & skip Focus Battles;No pass intercepts;Shot Move Power +10%;10;90;Chronicle Department Store
Twin Wings;Form up, ignore Focus, and push forward;Foul rate when dashing -50%;;30;90;Chronicle Department Store
Track Cycling;Form up, ignore Focus, and push forward;Tension depletion -25%;;30;90;Chronicle Department Store
Absolute Barrier;Geoglyph: Stun opponent with the ball;Geoglyph: Opponent loses ball;;10;90;Chronicle Department Store
Trinity Force;Form up, ignore Focus, and push forward;Enemy Team DF -15%;;30;90;Chronicle Department Store
Upsy-Daisy;No pass intercepts & skip Focus Battles;No pass intercepts;Move Speed +10%;10;90;Chronicle Department Store
3D Reflector;No pass intercepts & skip Focus Battles;No pass intercepts;;10;90;Chronicle Department Store
Virtuoso Vulcano;No pass intercepts & skip Focus Battles;No pass intercepts;Shot AT +10%;10;90;Chronicle Department Store
Tortoiseshell Pattern;Target: Pass lines to target disappear;Target: AT -50%;Target: AT DF -50%;10;90;Chronicle Department Store
Grand Plan;Form up, ignore Focus, and push forward;Shot AT +10%;;30;90;Chronicle Department Store
Suction Vortex;Geoglyph: Stun opponent with the ball;Geoglyph: Opponent loses ball;Overall: Move Speed +10%;10;90;Chronicle Department Store
Sandstorm Skid;Form up, ignore Focus, and push forward;Foul Rate -5%;;30;90;Chronicle Department Store
Mark of the Berserker;Deactivate opponent's totems/souls;;;1;90;Chronicle Department Store
Bull Horns;Geoglyph: Focus AT/DF +40%;Breach rate +5%;Overall: Foul rate +25%;40;90;BB Mart
Mount Fuji;Geoglyph: Tension depletion -25%;;Overall: Tension acquisition +25%;40;90;BB Mart
Waxing Moon;Geoglyph: When Tension is below 30%, Focus AT/DF +40%;Geoglyph: When Tension is below 30%, Scramble AT/DF +40%;Overall: Focus, Scramble AT/DF +10%;40;90;BB Mart
Diamond Defence;Geogylph: DF +30%;Save rate +5%;Overall: When team is scattered, Bond Power gain increases by 25%;40;90;BB Mart
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
