ID;Image;Name(Kanji);Name(Hiragana);Name(Romaji);Name(Localised);Nickname;Gender;Passive ID;Role;Game;Position;Alt Position;Element;Preferred Playstyle;First 3 Moves Learnt;Kick;Control;Technique;Pressure;Physical;Agility;Intelligence;Total Stats;Main Path;Alternate Paths
1;#NAME?;円堂 守;えんどう まもる;Mamoru Endo;Mark Evans;円堂;男 (Male);GK1;選手 (Player);イナズマイレブン;GK;FW;山 (Mountain);Justice;"Strong Punch
God Hand
Fireball Knuckle";90;97;91;98;105;111;97;689;Keep > Keep;"Keep > Keep
Shoot > Shoot"
2;#NAME?;豪炎寺 修也;ごうえんじ しゅうや;Shuya Goenji;Axel Blaze;豪炎寺;男 (Male);FW2;選手 (Player);イナズマイレブン;FW;MF;火 (Fire);Justice;"Fire Tornado
Scorching Tackle
Inazuma Drop";121;115;105;88;85;85;93;692;Shoot > Offense;"Shoot > Shoot
Offense > Offense"
5;#NAME?;壁山 塀吾郎;かべやま へいごろう;Heigoro Kabeyama;Jack Wallside;壁山;男 (Male);DF1;選手 (Player);イナズマイレブン;DF;MF;山 (Mountain);Justice;"Shoulder Tackle
The Wall
The Mountain";90;94;95;102;105;91;114;691;Defense > Defense;"Offense > Defense
Offense > Offense"
6;#NAME?;風丸 一郎太;かぜまる いちろうた;Ichirota Kazemaru;Nathan Swift;風丸;男 (Male);DF1;選手 (Player);イナズマイレブン;DF;MF;風 (Wind);Justice;"Cunning Pull
Flurry Dash
Fire Rooster";90;94;95;102;105;91;114;691;Defense > Offense;"Offense > Defense
Offense > Offense"
7;#NAME?;染岡 竜吾;そめおか りゅうご;Ryugo Someoka;Kevin Dragonfly;染岡;男 (Male);FW4;選手 (Player);イナズマイレブン;FW;MF;林 (Forest);Tension;"Will-o'-the-Wisp Shot
Dragon Crash
Dragon Tornado";117;112;102;84;82;81;90;668;Shoot > Shoot;"Offense > Shoot
Offense > Offense"
8;#NAME?;栗松 鉄平;くりまつ てっぺい;Teppei Kurimatsu;Tod Ironside;栗松;男 (Male);DF3;選手 (Player);イナズマイレブン;DF;MF;火 (Fire);Counter;"Curving Cut
Spinning Cut
Monkey Turn";86;90;91;98;102;88;110;665;Defense > Defense;"Shoot > Offense
Offense > Offense"
9;#NAME?;半田 真一;はんだ しんいち;Shinichi Handa;Steve Grim;半田;男 (Male);MF4;選手 (Player);イナズマイレブン;MF;DF;風 (Wind);Justice;"Heel Flick
Cyclone
Rolling Kick";100;108;105;88;88;81;97;667;Offense > Defense;"Defense > Shoot
Defense > Defense"
10;#NAME?;松野 空介;まつの くうすけ;Kusuke Matsuno;Maxwell Carson;マックス;男 (Male);FW4;選手 (Player);イナズマイレブン;FW;MF;風 (Wind);Tension;"Nutmeg
Quick Draw
Cross Drive";117;112;102;84;82;81;90;668;Offense > Defense;"Offense > Offense
Offense > Offense"
11;#NAME?;少林寺 歩;しょうりんじ あゆむ;Ayumu Shorinji;Tim Saunders;しょうりん;男 (Male);MF4;選手 (Player);イナズマイレブン;MF;DF;林 (Forest);Bond;"Crosscut Feint
Whirlwind Twister
Kung Fu Header";100;108;105;88;88;81;97;667;Offense > Offense;"Offense > Shoot
Defense > Defense"
12;#NAME?;宍戸 佐吉;ししど さきち;Sakichi Shishido;Sam Kincaid;宍戸;男 (Male);MF4;選手 (Player);イナズマイレブン;MF;DF;火 (Fire);Bond;"Deceptive Step
Grenade Shot
Bewildered";100;108;105;88;88;81;97;667;Offense > Shoot;"Defense > Shoot
Defense > Defense"
13;#NAME?;影野 仁;かげの じん;Jin Kageno;Jim Wraith;仁;男 (Male);DF3;選手 (Player);イナズマイレブン;DF;GK;林 (Forest);Justice;"Feint Play
Coil Turn
Shadow Stitch";86;90;91;98;102;88;110;665;Defense > Defense;"Offense > Defense
Keep > Keep"
14;#NAME?;目金 欠流;めがね かける;Kakeru Megane;William Glass;メガネ;男 (Male);FW3;選手 (Player);イナズマイレブン;FW;MF;林 (Forest);Justice;"Bounce Shot
Spectacle Crash
Divine Arrows";110;108;98;88;85;81;97;667;Shoot > Shoot;"Offense > Shoot
Offense > Offense"
15;#NAME?;一之瀬 一哉;いちのせ かずや;Kazuya Ichinose;Erik Eagle;一之瀬;男 (Male);MF4;選手 (Player);イナズマイレブン;MF;FW;林 (Forest);Bond;"Deceptive Step
Spinning Shot
Illusory Ball";100;108;105;88;88;81;97;667;Offense > Shoot;"Shoot > Shoot
Defense > Shoot"
16;#NAME?;土門 飛鳥;どもん あすか;Asuka Domon;Bobby Shearer;土門;男 (Male);DF3;選手 (Player);イナズマイレブン;DF;MF;林 (Forest);Tension;"Rolling Steal
Killer Slide
Volcano Cut";86;90;91;98;102;88;110;665;Defense > Defense;"Shoot > Defense
Defense > Shoot"
17;#NAME?;木野 秋;きの あき;Aki Kino;Silvia Woods;木野;女 (Female);GK1;マネージャー (Coordinator);イナズマイレブン;GK;DF;山 (Mountain);Tension;"Mighty Save
God Hand
Blazing Knuckle";90;97;91;98;105;111;97;689;Keep > Keep;"Keep > Keep
Defense > Defense"
18;#NAME?;音無 春奈;おとなし はるな;Haruna Otonashi;Celia Hills;音無;女 (Female);MF2;マネージャー (Coordinator);イナズマイレブン;MF;DF;風 (Wind);Bond;"Feint Dash
Illusory Ball
Spinning Cut";104;112;109;91;92;85;100;693;Offense > Offense;"Offense > Shoot
Defense > Defense"
19;#NAME?;雷門 夏未;らいもん なつみ;Natsumi Raimon;Nelly Raimon;夏未;女 (Female);FW2;マネージャー (Coordinator);イナズマイレブン;FW;MF;火 (Fire);Bond;"Will-o'-the-Wisp Shot
Bed of Roses
Matador Feint";121;115;105;88;85;85;93;692;Shoot > Shoot;"Shoot > Shoot
Offense > Defense"
20;#NAME?;源田 幸次郎;げんだ こうじろう;Kojiro Genda;Joseph King;げんおう;男 (Male);GK1;選手 (Player);イナズマイレブン;GK;MF;火 (Fire);Breach;"Mighty Save
Power Shield
Full Power Shield";90;97;91;98;105;111;97;689;Keep > Keep;"Keep > Keep
Shoot > Offense"
21;#NAME?;大野 伝助;おおの でんすけ;Densuke Ono;Peter Drent;だいでん;男 (Male);DF5;選手 (Player);イナズマイレブン;DF;FW;山 (Mountain);Rough Play;"Feint Play
Earthquake
Illusory Ball";83;86;88;95;99;85;107;643;Defense > Defense;"Defense > Shoot
Shoot > Shoot"
22;#NAME?;万丈 一道;ばんじょう かずみち;Kazumichi Banjo;Ben Simmons;万丈;男 (Male);DF4;選手 (Player);イナズマイレブン;DF;MF;林 (Forest);Justice;"Rolling Steal
Cyclone
Killer Slide";79;83;81;98;102;85;114;642;Defense > Defense;"Defense > Offense
Offense > Defense"
23;#NAME?;成神 健也;なるかみ けんや;Kenya Narukami;Alan Master;成神;男 (Male);MF5;選手 (Player);イナズマイレブン;MF;DF;風 (Wind);Breach;"Nutmeg
Killer Slide
Illusory Ball";93;108;109;81;78;78;97;644;Offense > Defense;"Defense > Offense
Defense > Defense"
24;#NAME?;五条 勝;ごじょう まさる;Masaru Gojo;Gus Martin;五条;男 (Male);DF3;選手 (Player);イナズマイレブン;DF;MF;林 (Forest);Bond;"Curving Cut
Killer Slide
Clone Faker";86;90;91;98;102;88;110;665;Defense > Defense;"Defense > Defense
Offense > Defense"
25;#NAME?;辺見 渡;へんみ わたる;Wataru Henmi;Herman Waldon;辺見;男 (Male);MF5;選手 (Player);イナズマイレブン;MF;FW;風 (Wind);Rough Play;"Nutmeg
Killer Slide
Cyclone";93;108;109;81;78;78;97;644;Offense > Defense;"Shoot > Offense
Shoot > Shoot"
26;#NAME?;咲山 修二;さきやま しゅうじ;Shuji Sakiyama;John Bloom;咲山;男 (Male);MF5;選手 (Player);イナズマイレブン;MF;FW;火 (Fire);Tension;"Dust Kick
Killer Slide
Wrath Shot";93;108;109;81;78;78;97;644;Offense > Defense;"Shoot > Offense
Shoot > Shoot"
27;#NAME?;洞面 秀一郎;どうめん しゅういちろう;Shuichiro Domen;Derek Swing;洞面;男 (Male);MF5;選手 (Player);イナズマイレブン;MF;FW;風 (Wind);Counter;"Deceptive Step
Clone Faker
Killer Slide";93;108;109;81;78;78;97;644;Offense > Offense;"Shoot > Shoot
Shoot > Shoot"
28;#NAME?;寺門 大貴;じもん だいき;Daiki Jimon;Daniel Hatch;寺門;男 (Male);FW5;選手 (Player);イナズマイレブン;FW;DF;林 (Forest);Rough Play;"Low Drive
Wrath Shot
Killer Slide";107;104;95;84;82;78;93;643;Shoot > Shoot;"Shoot > Shoot
Defense > Defense"
29;#NAME?;鬼道 有人;きどう ゆうと;Yuto Kido;Jude Sharp;鬼道;男 (Male);MF2;選手 (Player);イナズマイレブン;MF;FW;風 (Wind);Justice;"Deceptive Step
Illusory Ball
Twin Boost";104;112;109;91;92;85;100;693;Offense > Offense;"Shoot > Offense
Shoot > Shoot"
30;#NAME?;佐久間 次郎;さくま じろう;Jiro Sakuma;David Samford;佐久間;男 (Male);FW2;選手 (Player);イナズマイレブン;FW;MF;林 (Forest);Counter;"Bounce Shot
Killer Slide
Emperor Penguin No. 2";121;115;105;88;85;85;93;692;Shoot > Defense;"Shoot > Offense
Offense > Defense"
31;#NAME?;兵藤 雄平;ひょうどう ゆうへい;Yuhei Hyodo;Bob Carlton;兵藤;男 (Male);GK6;選手 (Player);イナズマイレブン;GK;DF;林 (Forest);Justice;"Strong Punch
Power Shield
Fireball Knuckle";79;86;81;88;95;101;86;616;Keep > Keep;"Keep > Keep
Defense > Defense"
32;#NAME?;恵那 和樹;えな かずき;Kazuki Ena;Cliff Tomlinson;恵那;男 (Male);FW7;選手 (Player);イナズマイレブン;FW;MF;風 (Wind);Breach;"Low Drive
Grenade Shot
Killer Slide";104;101;91;81;78;75;90;620;Shoot > Shoot;"Shoot > Shoot
Offense > Defense"
33;#NAME?;椋本 圭;むくもと けい;Kei Mukumoto;Jim Lawrenson;椋本;男 (Male);FW8;選手 (Player);イナズマイレブン;FW;MF;風 (Wind);Tension;"Bounce Shot
Spiral Shot
Wrath Shot";110;104;95;77;75;75;83;619;Shoot > Shoot;"Offense > Defense
Offense > Defense"
34;#NAME?;渋木 翔大;しぶき しょうだい;Shodai Shibuki;Barry Potts;渋木;男 (Male);MF7;選手 (Player);イナズマイレブン;MF;FW;風 (Wind);Rough Play;"Dust Kick
Killer Slide
Whirlwind Twister";90;104;105;77;75;75;93;619;Offense > Defense;"Offense > Shoot
Shoot > Shoot"
35;#NAME?;大楠 星士;おおくす せいじ;Seiji Okusu;Steve Ingham;大楠;男 (Male);FW7;選手 (Player);イナズマイレブン;FW;MF;山 (Mountain);Bond;"Bounce Shot
Ghost Pull
Twin Boost";104;101;91;81;78;75;90;620;Shoot > Defense;"Shoot > Offense
Shoot > Offense"
36;#NAME?;影山 零治;かげやま れいじ;Reiji Kageyama;Ray Dark;影山;男 (Male);MF5;監督 (Manager);イナズマイレブン;MF;FW;風 (Wind);Tension;"Feint Dash
Killer Slide
Illusory Ball";93;108;109;81;78;78;97;644;Offense > Defense;"Shoot > Shoot
Shoot > Shoot"
37;#NAME?;安西 勝;あんざい まさる;Masaru Anzai;Stephen Black;安西;男 (Male);DF6;コーチ (Coach);イナズマイレブン;DF;MF;林 (Forest);Tension;"Cunning Pull
Afterimage
Harvest";79;83;84;91;95;81;104;617;Defense > Offense;"Defense > Defense
Offense > Offense"
38;#NAME?;鉈 十三;なた じゅうぞう;Juzo Nata;Nathan Jones;十三;男 (Male);GK4;選手 (Player);イナズマイレブン;GK;MF;風 (Wind);Rough Play;"Strong Punch
Warp Space
Whirlwind";83;90;84;91;99;104;90;641;Keep > Keep;"Defense > Keep
Shoot > Offense"
39;#NAME?;三途 渡;さんず わたる;Wataru Sanzu;Russell Walk;三途;男 (Male);DF7;選手 (Player);イナズマイレブン;DF;FW;林 (Forest);Justice;"Shoulder Tackle
Ghost Pull
Phantom Shot";76;79;77;95;99;81;110;617;Defense > Defense;"Defense > Defense
Shoot > Shoot"
40;#NAME?;柳田 しげる;やなぎだ しげる;Shigeru Yanagida;Jason Jones;柳田;男 (Male);DF7;選手 (Player);イナズマイレブン;DF;MF;風 (Wind);Bond;"Rolling Steal
Ghost Pull
Fake Ball";76;79;77;95;99;81;110;617;Defense > Defense;"Defense > Defense
Offense > Defense"
41;#NAME?;不乱 拳;ふらん けん;Ken Furan;Ken Furan;フランケン;男 (Male);DF7;選手 (Player);イナズマイレブン;DF;GK;山 (Mountain);Rough Play;"Rolling Steal
Earthquake
Ghost Pull";76;79;77;95;99;81;110;617;Defense > Defense;"Defense > Defense
Keep > Keep"
42;#NAME?;屍 藤美;しかばね ふじみ;Fujimi Shikabane;Jerry Fulton;藤美;男 (Male);DF6;選手 (Player);イナズマイレブン;DF;MF;火 (Fire);Rough Play;"Feint Play
Shadow Stitch
Phantom Shot";79;83;84;91;95;81;104;617;Defense > Defense;"Defense > Offense
Offense > Defense"
43;#NAME?;霊幻 道久;れいげん みちひさ;Michihisa Reigen;Ray Mannings;霊幻;男 (Male);MF4;選手 (Player);イナズマイレブン;MF;DF;風 (Wind);Tension;"Dust Kick
Ghost Pull
Shadow Stitch";93;101;98;81;82;75;90;620;Offense > Defense;"Shoot > Defense
Defense > Defense"
