ID,Colonne 2,ImageURL,Name,Nickname,GenderIcon1,Gender,ElementIcon,Element,PositionIcon,Position,CharacterRole,AgeGroup,SchoolYear,Team,Team2,Game,3DviewURL,HowToObtain,Description,IE1,IE2,IE3,Go1,Go2,Go3,ARES,ORION,VIC,KIck,Control,Technique,Pressure,Physical,Agility,Intelligence,NameJP,NicknameJP,GenderJP,ElementJP,PositionJP,CharacterRoleJP,AgeGroupJP,SchoolYearJP,TeamJP,Team2JP,HowToObtainJP,DescriptionJP
1,,https://dxi4wb638ujep.cloudfront.net/1/k/d/w/dwho-wi8ruk.png,Mark Evans,Evans,,Male,,Mountain,,GK,Player,Middle School,Grade 8,Raimon,Inazuma National,Inazuma Eleven,/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_Pz87P3aKC,???,"Has more passion for football than anyone else. His mighty heart will never give up, no matter what.",○,○,○,○,○,○,×,×,○,?,?,?,?,?,?,?,円堂 守,円堂,男,山,GK,選手,中学生,二年生,雷門中,イナズマジャパン,???,サッカーへの情熱は誰にも負けない。 どんな時でも諦めない 強い心を持つ。
2,,https://dxi4wb638ujep.cloudfront.net/1/k/f/1/f1kh7d67sbs.png,Axel Blaze,Axel,,Male,,Fire,,FW,Player,Middle School,Grade 8,Raimon,Inazuma National,Inazuma Eleven,/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_Pzs_P3aKC,???,Beneath his cool exterior burns an intense and fiery passion for football.,○,○,○,○,○,○,×,×,○,?,?,?,?,?,?,?,豪炎寺 修也,豪炎寺,男,火,FW,選手,中学生,二年生,雷門中,イナズマジャパン,???,クールだが 胸の奥に秘めた サッカーへの思いは炎のようにアツい。
5,,https://dxi4wb638ujep.cloudfront.net/1/k/m/r/mrvaa0xojh8.png,Jack Wallside,Wallside,,Male,,Mountain,,DF,Player,Middle School,Grade 7,Raimon,Inazuma National,Inazuma Eleven,/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_Pz8zP3aKC,???,"With his bulky frame, the team's defence is as sturdy as a wall.",○,○,○,○,○,○,×,×,○,?,?,?,?,?,?,?,壁山 塀吾郎,壁山,男,山,DF,選手,中学生,一年生,雷門中,イナズマジャパン,???,その大きな体を使ってのディフェンスは まさに壁のごとし。
6,,https://dxi4wb638ujep.cloudfront.net/1/k/9/5/95k7tlx0k0u.png,Nathan Swift,Swift,,Male,,Wind,,DF,Player,Middle School,Grade 8,Raimon,Inazuma National,Inazuma Eleven,/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_Pz83P3aKC,???,His fancy footwork puts the opposition in their place. He's nothing short of a gale-force wind sweeping the pitch.,○,○,○,○,○,○,×,×,○,?,?,?,?,?,?,?,風丸 一郎太,風丸,男,風,DF,選手,中学生,二年生,雷門中,イナズマジャパン,???,俊足を活かし敵を翻弄する。 フィールドを疾風のごとく駆け抜ける。
7,,https://dxi4wb638ujep.cloudfront.net/1/k/0/d/0dvmw8cb_ye.png,Kevin Dragonfly,Kevin,,Male,,Forest,,FW,Player,Middle School,Grade 8,Raimon,Inazuma National,Inazuma Eleven,/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_Pzs7P3aKC,???,"A hothead who cares deeply for his pals. He seems scary, but behind the scenes, he works incredibly hard.",○,○,○,○,○,○,×,×,○,?,?,?,?,?,?,?,染岡 竜吾,染岡,男,林,FW,選手,中学生,二年生,雷門中,イナズマジャパン,???,仲間思いの熱血男。 コワモテだが 陰では努力を欠かさない。
8,,https://dxi4wb638ujep.cloudfront.net/1/k/_/y/_yjndsfyhyu.png,Tod Ironside,Tod,,Male,,Fire,,DF,Player,Middle School,Grade 7,Raimon,Inazuma National,Inazuma Eleven,/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_Pz8rP3aKC,???,Raimon's lovable class clown who never gets out-hustled on guts and grit.,○,○,○,○,○,○,×,×,○,?,?,?,?,?,?,?,栗松 鉄平,栗松,男,火,DF,選手,中学生,一年生,雷門中,イナズマジャパン,???,雷門中の おちゃめなムードメーカー。 ガッツなら どんな選手にだって負けない。
9,,https://dxi4wb638ujep.cloudfront.net/1/k/f/3/f3asqpwqusk.png,Steve Grim,Steve,,Male,,Wind,,MF,Player,Middle School,Grade 8,Raimon,,Inazuma Eleven,/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_Pz8nP3aKC,???,"He is a jack-of-all-trades. In other words, well balanced.",○,○,○,○,○,○,×,×,○,?,?,?,?,?,?,?,半田 真一,半田,男,風,MF,選手,中学生,二年生,雷門中,,???,何をやっても中途半端。 よく言えばバランス型。
10,,https://dxi4wb638ujep.cloudfront.net/1/k/r/d/rd_khczyztm.png,Maxwell Carson,Max,,Male,,Wind,,FW,Player,Middle School,Grade 8,Raimon,,Inazuma Eleven,/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_Pz8bP3aKC,???,A gifted all-rounder who just can't stay interested for long.,○,○,○,○,○,○,×,×,○,?,?,?,?,?,?,?,松野 空介,マックス,男,風,FW,選手,中学生,二年生,雷門中,,???,スポーツセンス抜群で どんな種目でも 器用にこなす反面 ちょっと飽きっぽい。
11,,https://dxi4wb638ujep.cloudfront.net/1/k/u/f/ufxz9wwq5hm.png,Tim Saunders,Timmy,,Male,,Forest,,MF,Player,Middle School,Grade 7,Raimon,,Inazuma Eleven,/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_Pz8jP3aKC,???,"Darts around the pitch with kung fu flair, nailing headers with his rock-hard skull.",○,○,○,○,○,○,×,×,○,?,?,?,?,?,?,?,少林寺 歩,しょうりん,男,林,MF,選手,中学生,一年生,雷門中,,???,カンフーの身のこなしでピッチを飛び回る。 石頭なため 彼の全力のヘディングには注意。
12,,https://dxi4wb638ujep.cloudfront.net/1/k/a/1/a1orm9vieek.png,Sam Kincaid,Sam,,Male,,Fire,,MF,Player,Middle School,Grade 7,Raimon,,Inazuma Eleven,/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_Pz8fP3aKC,???,"Often the punchline on Raimon's team, with hair that shouts louder than he ever does.",○,○,○,○,○,○,×,×,○,?,?,?,?,?,?,?,宍戸 佐吉,宍戸,男,火,MF,選手,中学生,一年生,雷門中,,???,雷門中サッカー部のイジられキャラ。 ファンキーな髪型だが すこし気弱で臆病。
13,,https://dxi4wb638ujep.cloudfront.net/1/k/o/w/owsgutjimb8.png,Jim Wraith,Jim,,Male,,Forest,,DF,Player,Middle School,Grade 8,Raimon,,Inazuma Eleven,/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_Pz8vP3aKC,???,"Gives off spooky, half-ghost vibes, but all he really wants is to be noticed.",○,○,○,○,○,○,×,×,○,?,?,?,?,?,?,?,影野 仁,仁,男,林,DF,選手,中学生,二年生,雷門中,,???,不気味なオーラを持つ 影の薄い少年。 本人はもっと存在感が欲しいと思っている。
14,,https://dxi4wb638ujep.cloudfront.net/1/k/u/y/uy2tfhpjks0.png,William Glass,Glass,,Male,,Forest,,FW,Player,Middle School,Grade 8,Raimon,,Inazuma Eleven,/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_Pzs3P3aKC,???,"Self-describing as a popular guy who looks great in glasses, he may come off as vain, but his Otaku knowledge is the real deal.",○,○,○,○,○,○,×,×,○,?,?,?,?,?,?,?,目金 欠流,メガネ,男,林,FW,選手,中学生,二年生,雷門中,,???,自称メガネが似合う人気者。 見栄っ張りだが オタク知識は本物。
15,,https://dxi4wb638ujep.cloudfront.net/1/k/e/4/e4qtt3lwf_m.png,Erik Eagle,Erik,,Male,,Forest,,MF,Player,Middle School,Grade 8,Raimon,,Inazuma Eleven,/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Pxs7P3aKC,???,An all-rounder once lauded as a genius. A powerhouse up front and a wall in the back.,○,○,○,○,○,○,×,×,○,?,?,?,?,?,?,?,一之瀬 一哉,一之瀬,男,林,MF,選手,中学生,二年生,雷門中,,???,かつては天才と呼ばれた万能プレイヤー。 前線だけでなく守りにも気を配る。
16,,https://dxi4wb638ujep.cloudfront.net/1/k/-/x/-xzmaq-eqf8.png,Bobby Shearer,Bobby,,Male,,Forest,,DF,Player,Middle School,Grade 8,Raimon,Royal Academy,Inazuma Eleven,/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Pxs3P3aKC,???,"Despite his somewhat frivolous nature, he has a warm heart and genuinely cares for his friends.",○,○,○,○,○,○,×,×,○,?,?,?,?,?,?,?,土門 飛鳥,土門,男,林,DF,選手,中学生,二年生,雷門中,帝国学園,???,軽いノリだが その心は熱く 仲間を思う気持ちは人一倍。
17,,https://dxi4wb638ujep.cloudfront.net/1/k/c/b/cb88nfolkwe.png,Silvia Woods,Silvia,,Female,,Mountain,,GK,Coordinator,Middle School,Grade 8,Raimon,,Inazuma Eleven,/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Nz83LyMrP3aKC,???,A strong and supportive big-sister type who brought the football club back to life with Mark Evans.,○,○,○,○,○,○,×,×,○,?,?,?,?,?,?,?,木野 秋,木野,女,山,GK,マネージャー,中学生,二年生,雷門中,,???,しっかり者で面倒見のいいお姉さんタイプ。 円堂守と共に サッカー部を再建した。
